"unique_ID","x","y"
7637,-64.6952040471687,18.8264263496662
7638,-64.6890373413594,18.8264823290311
7639,-64.6828706138343,18.8265381046036
7640,-64.6767038646726,18.8265936763806
7649,-64.6212021616338,18.8270846510726
7650,-64.6150352004606,18.8271381847271
7652,-64.6027012158965,18.827244640547
7887,-64.695145162491,18.8205543272297
7888,-64.6889786706399,18.8206102878589
7889,-64.6828121570766,18.820666044764
7890,-64.67664562188,18.8207215979418
7891,-64.6704790651296,18.8207769473892
7892,-64.6643124869043,18.8208320931032
7893,-64.6581458872833,18.8208870350807
7894,-64.6519792663458,18.8209417733187
7895,-64.6458126241709,18.8209963078141
7897,-64.6334792764259,18.821104765565
7898,-64.627312571014,18.8211586888146
7899,-64.6211458446814,18.8212124083095
7900,-64.6149790975074,18.8212659240469
7901,-64.608812329571,18.8213192360236
7902,-64.6026455409514,18.8213723442369
7903,-64.5964787317278,18.8214252486837
7904,-64.5903119019795,18.821477949361
8135,-64.7074187901055,18.8145698061772
8136,-64.7012525557886,18.8146261553748
8137,-64.6950862996047,18.8146823009225
8138,-64.6889200216327,18.8147382428173
8139,-64.6827537219519,18.8147939810562
8140,-64.6765874006415,18.814849515636
8141,-64.6704210577805,18.8149048465536
8142,-64.664254693448,18.814959973806
8143,-64.6580883077234,18.8150148973901
8144,-64.6519219006856,18.8150696173028
8145,-64.6457554724139,18.8151241335412
8146,-64.6395890229874,18.8151784461022
8147,-64.6334225524853,18.8152325549827
8148,-64.6272560609866,18.8152864601798
8149,-64.6210895485706,18.8153401616905
8150,-64.6149230153165,18.8153936595118
8151,-64.6087564613033,18.8154469536408
8152,-64.6025898866103,18.8155000440744
8153,-64.5964232913165,18.8155529308098
8154,-64.5902566755013,18.815605613844
8155,-64.5840900392437,18.815658093174
8382,-64.7258574510164,18.8085276012289
8383,-64.7196914965582,18.8085845422829
8384,-64.7135255199989,18.8086412797647
8385,-64.7073595214177,18.8086978136712
8386,-64.7011935008939,18.8087541439992
8387,-64.6950274585063,18.8088102707456
8388,-64.6888613943344,18.8088661939073
8389,-64.682695308457,18.8089219134813
8390,-64.6765292009534,18.8089774294643
8391,-64.6703630719027,18.8090327418533
8392,-64.6641969213841,18.8090878506453
8393,-64.6580307494766,18.8091427558372
8394,-64.6518645562594,18.809197457426
